File Name, test_jesse thuis 
Device Address, FD:F6:CE:B9:1D:66
Sensor ID, C9-96-74-54-73
Modify Time, 2020-04-13 13:38:54
Is Saturate, not
Integration Time(ms), 38.518
Wavelength, 390, 395, 400, 405, 410, 415, 420, 425, 430, 435, 440, 445, 450, 455, 460, 465, 470, 475, 480, 485, 490, 495, 500, 505, 510, 515, 520, 525, 530, 535, 540, 545, 550, 555, 560, 565, 570, 575, 580, 585, 590, 595, 600, 605, 610, 615, 620, 625, 630, 635, 640, 645, 650, 655, 660, 665, 670, 675, 680, 685, 690, 695, 700, 705, 710, 715, 720, 725, 730, 735, 740, 745, 750, 755, 760
Spectrum, 0.0015455168904736638, 0.0016831271350383759, 0.0018841063138097525, 0.002078457735478878, 0.002253723330795765, 0.0024171348195523024, 0.002559137297794223, 0.002646959852427244, 0.0026957672089338303, 0.0027675493620336056, 0.002902718260884285, 0.003066372824832797, 0.0032321312464773655, 0.003357511945068836, 0.0034253799822181463, 0.0034301108680665493, 0.0033550350926816463, 0.003225042950361967, 0.003058712463825941, 0.0028963887598365545, 0.002777781570330262, 0.0027282079681754112, 0.0027548784855753183, 0.0028482796624302864, 0.002991003915667534, 0.0031285809818655252, 0.0031959356274455786, 0.0031843064352869987, 0.003122198162600398, 0.0030672976281493902, 0.0030398303642868996, 0.003044932149350643, 0.0030684086959809065, 0.003091136459261179, 0.0030870346818119287, 0.0030444234143942595, 0.0029788168612867594, 0.002901175059378147, 0.002799524459987879, 0.002707956125959754, 0.0026268826331943274, 0.0025688454043120146, 0.0025420421734452248, 0.0025708177126944065, 0.0026413945015519857, 0.0026942009571939707, 0.002713586203753948, 0.002682974562048912, 0.0026357315946370363, 0.0025997324846684933, 0.002576590282842517, 0.002564702183008194, 0.002543753944337368, 0.0025045371148735285, 0.002449610736221075, 0.0023919588420540094, 0.0023458374198526144, 0.0023172227665781975, 0.002279464388266206, 0.0022314046509563923, 0.00218182522803545, 0.002172227017581463, 0.0021879449486732483, 0.0022292807698249817, 0.00225838809274137, 0.00225472473539412, 0.0022067041136324406, 0.002175263362005353, 0.0021664146333932877, 0.0022109122946858406, 0.002263203263282776, 0.0022475835867226124, 0.002200938994064927, 0.002150296000763774, 0.002105423016473651
PPFD Spectrum, 0.0, 0.0, 0.006300451699644327, 0.007037242408841848, 0.007724862080067396, 0.008386007510125637, 0.008985643275082111, 0.009404648095369339, 0.009690743871033192, 0.010064469650387764, 0.010677359066903591, 0.011407520622015, 0.012159277684986591, 0.01277130376547575, 0.013172641396522522, 0.013334212824702263, 0.013182603754103184, 0.012806645594537258, 0.012274001725018024, 0.0117436982691288, 0.011378904804587364, 0.011289870366454124, 0.011515391990542412, 0.012024867348372936, 0.012752444483339787, 0.013469792902469635, 0.0138933714479208, 0.013975921086966991, 0.01383383572101593, 0.013718795031309128, 0.013723010197281837, 0.013873320072889328, 0.014108543284237385, 0.01434225495904684, 0.014452261850237846, 0.014380029402673244, 0.014194658026099205, 0.013945948332548141, 0.013574333861470222, 0.013243529945611954, 0.012956836260855198, 0.01277795061469078, 0.012750883586704731, 0.01300268154591322, 0.013470055535435677, 0.013851964846253395, 0.014065059833228588, 0.014018542133271694, 0.013881871476769447, 0.013800939545035362, 0.013785788789391518, 0.013829386793076992, 0.013822758570313454, 0.01371434424072504, 0.013515972532331944, 0.013297855854034424, 0.013139504939317703, 0.013076088391244411, 0.012958299368619919, 0.01277836225926876, 0.012585640884935856, 0.012621073052287102, 0.012803853489458561, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Photopic Lux, 213
Cyanopic Lux, 219
Melanopic Lux, 222
Rhodopic Lux, 221
Chloropic Lux, 218
Erythropic Lux, 211
PPFD, 4
PPFD-R, 1
PPFD-G, 1
PPFD-B, 1
CCT, 6196
CRI, 98
XYZ, 204, 213, 224
xy, 0.3182, 0.3321
uv, 0.2004, 0.4708

File Name, test_jesse thuis 
Device Address, FD:F6:CE:B9:1D:66
Sensor ID, C9-96-74-54-73
Modify Time, 2020-04-13 13:39:24
Is Saturate, not
Integration Time(ms), 33.594
Wavelength, 390, 395, 400, 405, 410, 415, 420, 425, 430, 435, 440, 445, 450, 455, 460, 465, 470, 475, 480, 485, 490, 495, 500, 505, 510, 515, 520, 525, 530, 535, 540, 545, 550, 555, 560, 565, 570, 575, 580, 585, 590, 595, 600, 605, 610, 615, 620, 625, 630, 635, 640, 645, 650, 655, 660, 665, 670, 675, 680, 685, 690, 695, 700, 705, 710, 715, 720, 725, 730, 735, 740, 745, 750, 755, 760
Spectrum, 0.0017037758370861411, 0.0018219106132164598, 0.0020016375929117203, 0.0021844070870429277, 0.002356977667659521, 0.002538826083764434, 0.002722409786656499, 0.0028766877949237823, 0.0030073325615376234, 0.0031604948453605175, 0.003298730356618762, 0.0034076718147844076, 0.0035426884423941374, 0.003650758182629943, 0.00372755853459239, 0.00377760361880064, 0.003737891558557749, 0.003615932771936059, 0.003438889514654875, 0.003252049209550023, 0.0031293786596506834, 0.0031150744762271643, 0.0031896596774458885, 0.0033386773429811, 0.0035111121833324432, 0.003633904503658414, 0.0036652847193181515, 0.0036395075730979443, 0.0035763622727245092, 0.0035282273311167955, 0.003519790479913354, 0.0035340143367648125, 0.003548484994098544, 0.0035568641033023596, 0.0035432095173746347, 0.00349762593396008, 0.003435765393078327, 0.003364143194630742, 0.0032691338565200567, 0.0031759648118168116, 0.003092527389526367, 0.0030487384647130966, 0.0030516404658555984, 0.0031140330247581005, 0.0031953139696270227, 0.003226184519007802, 0.003194808727130294, 0.0031128900591284037, 0.003047114936634898, 0.0030154469422996044, 0.00299353851005435, 0.002968238200992346, 0.002921115839853883, 0.0028597016353160143, 0.002793884603306651, 0.002738987561315298, 0.0027209040708839893, 0.002743762219324708, 0.0027660364285111427, 0.0027722634840756655, 0.0027540037408471107, 0.0027413666248321533, 0.002744137542322278, 0.0027508623898029327, 0.0027335933409631252, 0.002681443467736244, 0.0025868737138807774, 0.002524683019146323, 0.0024990804959088564, 0.002536920364946127, 0.0025830455124378204, 0.0025870250537991524, 0.002579603809863329, 0.002561799716204405, 0.0025452682748436928
PPFD Spectrum, 0.0, 0.0, 0.006693475879728794, 0.00739596551284194, 0.00807877629995346, 0.008808203041553497, 0.009558925405144691, 0.010220871306955814, 0.010810758918523788, 0.011493455618619919, 0.012134050019085407, 0.01267722062766552, 0.01332759391516447, 0.013886754401028156, 0.014334699138998985, 0.014685056172311306, 0.01468692347407341, 0.014358868822455406, 0.013799576088786125, 0.013185759074985981, 0.01281918678432703, 0.012890800833702087, 0.01333277765661478, 0.014095228165388107, 0.014969977550208569, 0.015645412728190422, 0.015933725982904434, 0.01597379893064499, 0.015846146270632744, 0.01578035019338131, 0.015889741480350494, 0.01610167697072029, 0.01631593331694603, 0.016503138467669487, 0.016587888821959496, 0.016520686447620392, 0.016372108832001686, 0.01617143675684929, 0.015851376578211784, 0.015532373450696468, 0.015253582037985325, 0.015165034681558609, 0.015307028777897358, 0.015750156715512276, 0.016294823959469795, 0.01658710464835167, 0.016559332609176636, 0.01626485027372837, 0.016048545017838478, 0.0160078015178442, 0.016016628593206406, 0.01600533351302147, 0.015873342752456665, 0.0156591534614563, 0.015415538102388382, 0.015227127820253372, 0.015240327455103397, 0.015483050607144833, 0.015724364668130875, 0.015875644981861115, 0.01588619500398636, 0.015927888453006744, 0.01605869270861149, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Photopic Lux, 247
Cyanopic Lux, 243
Melanopic Lux, 251
Rhodopic Lux, 252
Chloropic Lux, 251
Erythropic Lux, 244
PPFD, 4
PPFD-R, 2
PPFD-G, 2
PPFD-B, 1
CCT, 5917
CRI, 98
XYZ, 236, 247, 248
xy, 0.3234, 0.3376
uv, 0.2020, 0.4744

File Name, test_jesse thuis 
Device Address, FD:F6:CE:B9:1D:66
Sensor ID, C9-96-74-54-73
Modify Time, 2020-04-13 13:39:54
Is Saturate, not
Integration Time(ms), 58.218
Wavelength, 390, 395, 400, 405, 410, 415, 420, 425, 430, 435, 440, 445, 450, 455, 460, 465, 470, 475, 480, 485, 490, 495, 500, 505, 510, 515, 520, 525, 530, 535, 540, 545, 550, 555, 560, 565, 570, 575, 580, 585, 590, 595, 600, 605, 610, 615, 620, 625, 630, 635, 640, 645, 650, 655, 660, 665, 670, 675, 680, 685, 690, 695, 700, 705, 710, 715, 720, 725, 730, 735, 740, 745, 750, 755, 760
Spectrum, 0.0005523704458028078, 0.0006463019526563585, 0.0007663365104235709, 0.0008641870808787644, 0.0009383974829688668, 0.0010146627901121974, 0.0010920760687440634, 0.0011427943827584386, 0.0012008009944111109, 0.001300620730035007, 0.0014245450729504228, 0.0015337653458118439, 0.001629210659302771, 0.001699428423307836, 0.0017420377116650343, 0.0017622805899009109, 0.001738790888339281, 0.00167971127666533, 0.0015998600283637643, 0.0015160825569182634, 0.0014572786167263985, 0.001444134395569563, 0.0014768893597647548, 0.0015484968898817897, 0.0016422484768554568, 0.001731780474074185, 0.001782330684363842, 0.001796608092263341, 0.0017849472351372242, 0.001775301992893219, 0.0017831516452133656, 0.001808403292670846, 0.0018488849746063352, 0.0018867604667320848, 0.001909470185637474, 0.0019082564394921064, 0.001892106025479734, 0.0018618862377479672, 0.0018079181900247931, 0.001755617093294859, 0.0017114892834797502, 0.001692126039415598, 0.0016972667071968317, 0.0017308371607214212, 0.0017750859260559082, 0.001788722351193428, 0.001785938162356615, 0.0017672197427600622, 0.0017522993730381131, 0.0017616074765101075, 0.0017740577459335327, 0.001787894289009273, 0.0017748920945450664, 0.0017417718190699816, 0.001695055514574051, 0.0016536872135475278, 0.0016397625440731645, 0.0016523990780115128, 0.0016648960299789906, 0.0016705566085875034, 0.0016684704460203648, 0.00167724653147161, 0.0016874074935913086, 0.0017046940047293901, 0.0016953002195805311, 0.0016675085062161088, 0.0016247795429080725, 0.0016291707288473845, 0.0016596447676420212, 0.001720826723612845, 0.0017686669016256928, 0.0017771205166354775, 0.0017551416531205177, 0.0017389700515195727, 0.0017267352668568492
PPFD Spectrum, 0.0, 0.0, 0.0025626292917877436, 0.0029259645380079746, 0.0032164512667804956, 0.0035202710423618555, 0.0038344974163919687, 0.004060348495841026, 0.004316639620810747, 0.00472983717918396, 0.005240046419203281, 0.005705913994461298, 0.006129090674221516, 0.006464285776019096, 0.006699180230498314, 0.006850689649581909, 0.006832057144492865, 0.006670133676379919, 0.00641991849988699, 0.006147108506411314, 0.005969596095383167, 0.0059761167503893375, 0.006173397414386272, 0.006537443958222866, 0.007001890800893307, 0.0074560078792274, 0.007748147938400507, 0.007885312661528587, 0.007908743806183338, 0.007940215989947319, 0.008049859665334225, 0.008239447139203548, 0.008501172997057438, 0.008754190988838673, 0.008939375169575214, 0.009013458155095577, 0.009016263298690319, 0.008950087241828442, 0.008766233921051025, 0.008586021140217781, 0.008441749960184097, 0.008416973054409027, 0.008513489738106728, 0.008754228241741657, 0.009052228182554245, 0.009196537546813488, 0.009256875142455101, 0.009233723394572735, 0.009229009971022606, 0.009351669810712337, 0.009491918608546257, 0.00964068342000246, 0.009644763544201851, 0.009537594392895699, 0.009352638386189938, 0.009193508885800838, 0.009184638038277626, 0.00932448823004961, 0.009464601054787636, 0.009566609747707844, 0.009624404832720757, 0.009745137766003609, 0.009874708950519562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Photopic Lux, 130
Cyanopic Lux, 108
Melanopic Lux, 118
Rhodopic Lux, 121
Chloropic Lux, 127
Erythropic Lux, 128
PPFD, 2
PPFD-R, 1
PPFD-G, 1
PPFD-B, 1
CCT, 5026
CRI, 98
XYZ, 127, 130, 111
xy, 0.3446, 0.3531
uv, 0.2105, 0.4853

File Name, test_jesse thuis 
Device Address, FD:F6:CE:B9:1D:66
Sensor ID, C9-96-74-54-73
Modify Time, 2020-04-13 13:40:24
Is Saturate, not
Integration Time(ms), 29.216
Wavelength, 390, 395, 400, 405, 410, 415, 420, 425, 430, 435, 440, 445, 450, 455, 460, 465, 470, 475, 480, 485, 490, 495, 500, 505, 510, 515, 520, 525, 530, 535, 540, 545, 550, 555, 560, 565, 570, 575, 580, 585, 590, 595, 600, 605, 610, 615, 620, 625, 630, 635, 640, 645, 650, 655, 660, 665, 670, 675, 680, 685, 690, 695, 700, 705, 710, 715, 720, 725, 730, 735, 740, 745, 750, 755, 760
Spectrum, 0.0019496072782203555, 0.002070019021630287, 0.0022458359599113464, 0.0024136172141879797, 0.002570117125287652, 0.002754459623247385, 0.002962354803457856, 0.0031405023764818907, 0.003328204620629549, 0.003573077032342553, 0.0038284629117697477, 0.004026502370834351, 0.004221892915666103, 0.004357346333563328, 0.004429752938449383, 0.004460399970412254, 0.004387960769236088, 0.00422214949503541, 0.004003345035016537, 0.0037955017760396004, 0.0036683313082903624, 0.003636367619037628, 0.0037088682875037193, 0.0038426227401942015, 0.004017254803329706, 0.004194573033601046, 0.0043153101578354836, 0.004382235463708639, 0.004390564281493425, 0.0043687159195542336, 0.0043285908177495, 0.004296666942536831, 0.004282359965145588, 0.0042770965956151485, 0.004229995887726545, 0.004155395552515984, 0.004071887116879225, 0.00398734537884593, 0.00391283119097352, 0.003806204302236438, 0.0037127567920833826, 0.0036642802879214287, 0.003669606288895011, 0.0037435884587466717, 0.0038319178856909275, 0.003863403806462884, 0.003859075019136071, 0.0038262559100985527, 0.0038222407456487417, 0.00377699825912714, 0.003719187807291746, 0.003649952122941613, 0.0035609249025583267, 0.0034725326113402843, 0.003401468973606825, 0.003359597409144044, 0.003345385892316699, 0.0033299773931503296, 0.0032738239970058203, 0.0031915961299091578, 0.0031239341478794813, 0.003118708496913314, 0.0031729508191347122, 0.0032577060628682375, 0.0032999601680785418, 0.0032628343906253576, 0.003130267607048154, 0.003018667222931981, 0.0029602376744151115, 0.003005304140970111, 0.003054878208786249, 0.0030705516692250967, 0.0030595797579735518, 0.003023736644536257, 0.002990148961544037
PPFD Spectrum, 0.0, 0.0, 0.007510075345635414, 0.008172024972736835, 0.00880933366715908, 0.009556322358548641, 0.010401420295238495, 0.011158204637467861, 0.011964229866862297, 0.01299385167658329, 0.014082618057727814, 0.014979394152760506, 0.015882760286331177, 0.016574474051594734, 0.01703505776822567, 0.01733935810625553, 0.01724117621779442, 0.016766155138611794, 0.01606462337076664, 0.01538924127817154, 0.015026952140033245, 0.015048016794025898, 0.015503069385886192, 0.01622278429567814, 0.01712796837091446, 0.018059315159916878, 0.01875951699912548, 0.01923363097012043, 0.019453711807727814, 0.019539518281817436, 0.01954098977148533, 0.01957647316157818, 0.019690291956067085, 0.019844872877001762, 0.01980314962565899, 0.01962759532034397, 0.019403357058763504, 0.01916716992855072, 0.01897253654897213, 0.018614621832966805, 0.01831280067563057, 0.0182268638163805, 0.018406745046377182, 0.018934322521090508, 0.019541248679161072, 0.019863303750753403, 0.02000235766172409, 0.01999218761920929, 0.020130977034568787, 0.020050572231411934, 0.019899142906069756, 0.01968127116560936, 0.019350066781044006, 0.01901489496231079, 0.01876794546842575, 0.018677346408367157, 0.018738174811005592, 0.018791062757372856, 0.018611034378409386, 0.018276995047926903, 0.01802010089159012, 0.01812032051384449, 0.01856810785830021, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Photopic Lux, 296
Cyanopic Lux, 282
Melanopic Lux, 294
Rhodopic Lux, 297
Chloropic Lux, 299
Erythropic Lux, 293
PPFD, 5
PPFD-R, 2
PPFD-G, 2
PPFD-B, 1
CCT, 5765
CRI, 98
XYZ, 283, 296, 288
xy, 0.3265, 0.3412
uv, 0.2028, 0.4767

File Name, test_jesse thuis 
Device Address, FD:F6:CE:B9:1D:66
Sensor ID, C9-96-74-54-73
Modify Time, 2020-04-13 13:40:54
Is Saturate, not
Integration Time(ms), 29.034
Wavelength, 390, 395, 400, 405, 410, 415, 420, 425, 430, 435, 440, 445, 450, 455, 460, 465, 470, 475, 480, 485, 490, 495, 500, 505, 510, 515, 520, 525, 530, 535, 540, 545, 550, 555, 560, 565, 570, 575, 580, 585, 590, 595, 600, 605, 610, 615, 620, 625, 630, 635, 640, 645, 650, 655, 660, 665, 670, 675, 680, 685, 690, 695, 700, 705, 710, 715, 720, 725, 730, 735, 740, 745, 750, 755, 760
Spectrum, 0.001782095292583108, 0.0019407252548262477, 0.0021942518651485443, 0.0024538831785321236, 0.002679003169760108, 0.002898110542446375, 0.003100658068433404, 0.003243747865781188, 0.003339810064062476, 0.003481093794107437, 0.0037281913682818413, 0.003980280365794897, 0.004228072240948677, 0.00439833989366889, 0.004474537912756205, 0.0044761053286492825, 0.0043710991740226746, 0.004184937570244074, 0.00395435094833374, 0.003730138298124075, 0.003580436110496521, 0.003528616623952985, 0.003587564453482628, 0.0037360345013439655, 0.003953394014388323, 0.0041672103106975555, 0.004310503602027893, 0.004366735462099314, 0.004352134186774492, 0.004310880322009325, 0.004268590826541185, 0.004241521004587412, 0.0042302790097892284, 0.004228806588798761, 0.004178826231509447, 0.004092241637408733, 0.003998824395239353, 0.003930054605007172, 0.0038623663131147623, 0.003786184825003147, 0.0037187086418271065, 0.003689606674015522, 0.0036943028680980206, 0.0037515563890337944, 0.003819181816652417, 0.0038206835743039846, 0.0037874197587370872, 0.003726726630702615, 0.0037077267188578844, 0.0036769420839846134, 0.003641946939751506, 0.0035671524237841368, 0.0034683654084801674, 0.0033584663178771734, 0.003261654870584607, 0.0032000963110476732, 0.0031842621974647045, 0.0031949339900165796, 0.0031823283061385155, 0.003157811937853694, 0.0031314226798713207, 0.0031468805391341448, 0.00317127862945199, 0.003190654097124934, 0.0031944371294230223, 0.0031349165365099907, 0.003005900653079152, 0.002918306505307555, 0.0028764470480382442, 0.002921472070738673, 0.0029923419933766127, 0.0029997036326676607, 0.0029707644134759903, 0.0029385220259428024, 0.002883166540414095
PPFD Spectrum, 0.0, 0.0, 0.007337578106671572, 0.008308357559144497, 0.009182550944387913, 0.01005470473319292, 0.010887030512094498, 0.011525035835802555, 0.012005949392914772, 0.012659345753490925, 0.013713778927922249, 0.014807439409196377, 0.01590600796043873, 0.016730405390262604, 0.017207283526659012, 0.017400411888957024, 0.017174923792481422, 0.016618387773633003, 0.015868019312620163, 0.015124218538403511, 0.014666898176074028, 0.014602120965719223, 0.014996019192039967, 0.01577278971672058, 0.016855690628290176, 0.017941506579518318, 0.018738621845841408, 0.019165601581335068, 0.019283436238765717, 0.019280843436717987, 0.019270125776529312, 0.019325217232108116, 0.019450822845101357, 0.01962081715464592, 0.019563592970371246, 0.019329294562339783, 0.01905519887804985, 0.018891772255301476, 0.01872784085571766, 0.018516715615987778, 0.0183421578258276, 0.018352841958403587, 0.018530623987317085, 0.01897462271153927, 0.019476300105452538, 0.019643662497401237, 0.019630953669548035, 0.019472146406769753, 0.019527854397892952, 0.019519414752721786, 0.019485872238874435, 0.019234798848628998, 0.01884709671139717, 0.018390290439128876, 0.01799650676548481, 0.017790615558624268, 0.017835689708590508, 0.01802901178598404, 0.018090900033712387, 0.01808352582156658, 0.018063299357891083, 0.018284006044268608, 0.0185583233833313, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Photopic Lux, 293
Cyanopic Lux, 281
Melanopic Lux, 291
Rhodopic Lux, 294
Chloropic Lux, 295
Erythropic Lux, 289
PPFD, 5
PPFD-R, 2
PPFD-G, 2
PPFD-B, 1
CCT, 5787
CRI, 98
XYZ, 281, 293, 288
xy, 0.3261, 0.3395
uv, 0.2031, 0.4758

File Name, test_jesse thuis 
Device Address, FD:F6:CE:B9:1D:66
Sensor ID, C9-96-74-54-73
Modify Time, 2020-04-13 13:41:24
Is Saturate, not
Integration Time(ms), 31.952
Wavelength, 390, 395, 400, 405, 410, 415, 420, 425, 430, 435, 440, 445, 450, 455, 460, 465, 470, 475, 480, 485, 490, 495, 500, 505, 510, 515, 520, 525, 530, 535, 540, 545, 550, 555, 560, 565, 570, 575, 580, 585, 590, 595, 600, 605, 610, 615, 620, 625, 630, 635, 640, 645, 650, 655, 660, 665, 670, 675, 680, 685, 690, 695, 700, 705, 710, 715, 720, 725, 730, 735, 740, 745, 750, 755, 760
Spectrum, 0.0018273161258548498, 0.001969899982213974, 0.002179363975301385, 0.0023639474529772997, 0.0025300767738372087, 0.002695014700293541, 0.0028512729331851006, 0.002957294462248683, 0.0030485622119158506, 0.0031849241349846125, 0.0033757511992007494, 0.003553628223016858, 0.0037260025274008512, 0.003861749544739723, 0.00394634623080492, 0.003990303725004196, 0.003924654331058264, 0.003789990209043026, 0.0036036507226526737, 0.0034070268739014864, 0.00326799345202744, 0.003215552307665348, 0.0032530929893255234, 0.0033687942195683718, 0.003532388946041465, 0.003693148260936141, 0.003782865358516574, 0.003798404475674033, 0.003763394895941019, 0.003720542648807168, 0.0036916148383170366, 0.0036839903332293034, 0.00369861233048141, 0.0037188974674791098, 0.0037110643461346626, 0.003672283375635743, 0.003610057756304741, 0.0035432970616966486, 0.0034724692814052105, 0.0033986056223511696, 0.00333108427003026, 0.003283316269516945, 0.003253177972510457, 0.0032675894908607006, 0.0033076994586735964, 0.0033249957486987114, 0.0033066675532609224, 0.003246922977268696, 0.0031793834641575813, 0.003141695400699973, 0.0031208829022943974, 0.0031046008225530386, 0.003073744010180235, 0.0030299711506813765, 0.002973865484818816, 0.002923421561717987, 0.00288630579598248, 0.0028698532842099667, 0.0028519921470433474, 0.0028383026365190744, 0.002827343065291643, 0.002850509015843272, 0.0028686351142823696, 0.0028725103475153446, 0.0028408593498170376, 0.0027960026636719704, 0.0027416066732257605, 0.002724062418565154, 0.002745842095464468, 0.0028025961946696043, 0.002833625301718712, 0.0028174384497106075, 0.0027401584666222334, 0.0026547384914010763, 0.002568871481344104
PPFD Spectrum, 0.0, 0.0, 0.007287793327122927, 0.008003853261470795, 0.00867209117859602, 0.009350083768367767, 0.01001138985157013, 0.010507266968488693, 0.010958971455693245, 0.011582295410335064, 0.012417363002896309, 0.013220207765698433, 0.01401722151786089, 0.01468932256102562, 0.015176068991422653, 0.015511906705796719, 0.01542075164616108, 0.015050050802528858, 0.01446072943508625, 0.013814130797982216, 0.01338700857013464, 0.01330659817904234, 0.013597928918898106, 0.014222375117242336, 0.015060693956911564, 0.01590047962963581, 0.016444873064756393, 0.016671197488904, 0.01667485013604164, 0.016640499234199524, 0.016665425151586533, 0.016784997656941414, 0.017006220296025276, 0.017254941165447235, 0.017373718321323395, 0.017345663160085678, 0.017202647402882576, 0.017032628878951073, 0.016837308183312416, 0.016621220856904984, 0.016430240124464035, 0.016331871971488, 0.0163179412484169, 0.01652681455016136, 0.016867944970726967, 0.017095133662223816, 0.017139120027422905, 0.016965173184871674, 0.016745176166296005, 0.01667800359427929, 0.016697971150279045, 0.016740629449486732, 0.016702724620699883, 0.016591515392065048, 0.01640859991312027, 0.016252469271421432, 0.016166776418685913, 0.016194581985473633, 0.016213005408644676, 0.016253823414444923, 0.01630924642086029, 0.016562027856707573, 0.016787253320217133, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Photopic Lux, 259
Cyanopic Lux, 253
Melanopic Lux, 261
Rhodopic Lux, 262
Chloropic Lux, 262
Erythropic Lux, 256
PPFD, 5
PPFD-R, 2
PPFD-G, 2
PPFD-B, 1
CCT, 5855
CRI, 98
XYZ, 249, 259, 259
xy, 0.3247, 0.3377
uv, 0.2029, 0.4746

File Name, test_jesse thuis 
Device Address, FD:F6:CE:B9:1D:66
Sensor ID, C9-96-74-54-73
Modify Time, 2020-04-13 13:41:54
Is Saturate, not
Integration Time(ms), 91.232
Wavelength, 390, 395, 400, 405, 410, 415, 420, 425, 430, 435, 440, 445, 450, 455, 460, 465, 470, 475, 480, 485, 490, 495, 500, 505, 510, 515, 520, 525, 530, 535, 540, 545, 550, 555, 560, 565, 570, 575, 580, 585, 590, 595, 600, 605, 610, 615, 620, 625, 630, 635, 640, 645, 650, 655, 660, 665, 670, 675, 680, 685, 690, 695, 700, 705, 710, 715, 720, 725, 730, 735, 740, 745, 750, 755, 760
